#category,term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO Process,GO:0018105,Peptidyl-serine phosphorylation,7,177,1.99,5.90E-10,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0018107,Peptidyl-threonine phosphorylation,5,72,2.23,1.47E-07,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000419782","CSNK2A1,GSK3B,DYRK2,PKN1,CDK5"
GO Process,GO:0006915,Apoptotic process,7,918,1.27,6.35E-06,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CDK5"
GO Process,GO:0001558,Regulation of cell growth,5,423,1.46,0.00026,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,SGK1,CDK5"
GO Process,GO:0048511,Rhythmic process,4,271,1.56,0.0018,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0030516,Regulation of axon extension,3,99,1.87,0.0046,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
GO Process,GO:1904338,Regulation of dopaminergic neuron differentiation,2,10,2.69,0.0056,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
GO Process,GO:0033554,Cellular response to stress,6,1725,0.93,0.0061,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044","PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E"
GO Process,GO:0051247,Positive regulation of protein metabolic process,6,1715,0.93,0.0061,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,CSNK1E,CDK5"
GO Process,GO:0007165,Signal transduction,8,4876,0.6,0.0074,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0010647,Positive regulation of cell communication,6,1823,0.91,0.0074,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,CSNK1E,CDK5"
GO Process,GO:0023056,Positive regulation of signaling,6,1831,0.9,0.0074,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,CSNK1E,CDK5"
GO Process,GO:1902531,Regulation of intracellular signal transduction,6,1807,0.91,0.0074,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,CDK5"
GO Process,GO:0009966,Regulation of signal transduction,7,3107,0.74,0.0075,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,CSNK1E,CDK5"
GO Process,GO:0070885,Negative regulation of calcineurin-NFAT signaling cascade,2,15,2.51,0.008,"9606.ENSP00000324806,9606.ENSP00000342105","GSK3B,DYRK2"
GO Process,GO:1905114,Cell surface receptor signaling pathway involved in cell-cell signaling,4,461,1.33,0.008,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0120036,Plasma membrane bounded cell projection organization,5,1122,1.04,0.0104,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,SGK1,CSNK1E,CDK5"
GO Process,GO:0006950,Response to stress,7,3485,0.69,0.0124,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:2000058,Regulation of ubiquitin-dependent protein catabolic process,3,174,1.62,0.0124,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
GO Process,GO:0010604,Positive regulation of macromolecule metabolic process,7,3600,0.68,0.0132,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,CSNK1E,CDK5"
GO Process,GO:0090316,Positive regulation of intracellular protein transport,3,184,1.6,0.0132,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
GO Process,GO:1901796,Regulation of signal transduction by p53 class mediator,3,182,1.61,0.0132,"9606.ENSP00000217244,9606.ENSP00000342105,9606.ENSP00000419782","CSNK2A1,DYRK2,CDK5"
GO Process,GO:1903827,Regulation of cellular protein localization,4,568,1.24,0.0132,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0046777,Protein autophosphorylation,3,192,1.58,0.0135,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
GO Process,GO:0007166,Cell surface receptor signaling pathway,6,2325,0.8,0.0161,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,CSNK1E,CDK5"
GO Process,GO:0043393,Regulation of protein binding,3,212,1.54,0.0174,"9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","GSK3B,CSNK1E,CDK5"
GO Process,GO:0050790,Regulation of catalytic activity,6,2386,0.79,0.0175,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,SGK1,CDK5"
GO Process,GO:0090314,Positive regulation of protein targeting to membrane,2,30,2.21,0.0175,"9606.ENSP00000278568,9606.ENSP00000419782","PAK1,CDK5"
GO Process,GO:0005979,Regulation of glycogen biosynthetic process,2,31,2.2,0.0176,"9606.ENSP00000324806,9606.ENSP00000342105","GSK3B,DYRK2"
GO Process,GO:0016572,Histone phosphorylation,2,31,2.2,0.0176,"9606.ENSP00000343325,9606.ENSP00000419782","PKN1,CDK5"
GO Process,GO:0045664,Regulation of neuron differentiation,4,665,1.17,0.0177,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0080090,Regulation of primary metabolic process,8,6032,0.51,0.0177,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0031175,Neuron projection development,4,680,1.16,0.0186,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000356832,9606.ENSP00000419782","PAK1,GSK3B,SGK1,CDK5"
GO Process,GO:0048518,Positive regulation of biological process,8,6112,0.51,0.0186,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0031323,Regulation of cellular metabolic process,8,6239,0.5,0.0197,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0045732,Positive regulation of protein catabolic process,3,240,1.49,0.0197,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
GO Process,GO:1904646,Cellular response to amyloid-beta,2,39,2.1,0.0209,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Process,GO:0030162,Regulation of proteolysis,4,747,1.12,0.0224,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0060255,Regulation of macromolecule metabolic process,8,6407,0.48,0.0224,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
