"","Accession","Description","PSM","GeneID","SED_1","SED_2","SED_3","SED_4","SED_5","SED_6","SED_7","SED_8","EX_1","EX2","EX_3","EX_4","EX_5","EX_6","EX_7","EX_8"
"1","Q09666","Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2",1242,"AHNAK",35185,54966.6,36421.1,46652,60336.8,44749.1,45386.7,56287,43345,31225.1,29548.3,46203.9,29374.3,42398.4,46796.9,37970.6
"2","Q13813","Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",516,"SPTAN1",9830.5,11917.6,8325.6,11379.1,14927.4,10910.1,11675.7,12239.1,9501,7122.4,5924.6,9698.9,7784.2,9702.3,12069.5,9219
"3","Q9Y490","Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3",457,"TLN1",7456.1,9274,6989.2,8480.1,13799.5,14923.5,7112.1,20840.6,8574.7,5791,4375.4,6630.4,6054.8,6743,8442.7,6100.4
"4","Q01082","Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",485,"SPTBN1",8116.5,9790.2,6998.2,9713.6,12868.4,9979.9,9529.4,10872.1,7671.8,5782.1,4723.6,7707.2,6732.3,7894.9,10056.1,7641.9
"5","P35579","Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4",411,"MYH9",8119.2,9957,8011.8,10625.6,13406,14300.2,7288.4,13156.8,10592.9,5888.3,4968.6,7669.7,5896.8,9046.7,8640.4,6104.7
"6","P01024","Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2",504,"C3",9638.7,10218.4,10297.5,24392.7,27790.5,19060.8,7939.2,19419.7,8623,9676.1,4854.2,7056.7,7974.6,8135.7,10856.6,4971.1
"7","P49327","Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3",447,"FASN",5073.8,13288.4,10201,8098.3,6956.4,4322.2,4946.1,4293.5,30972.9,5491.5,7625.4,5894.1,3949.9,6921.3,7276.2,2993.4
"8","P02549","Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5",415,"SPTA1",6021.6,5040.6,3973.8,13701,10097.6,32916.5,4237.2,27067.4,6609.5,3549.4,3399.6,3478.4,6911.1,4325.1,4545.4,1871.4
"9","P02768","Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2",1892,"ALB",33393.5,54251.1,68766.3,101095.4,91017.3,55837.2,40991.1,61855.8,39509.4,30695.3,29382.5,31125.5,33342.6,40387.2,41268.7,25822.1
"10","P11277","Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5",371,"SPTB",4383,3508.3,2889.2,9815.3,7523.5,24650.2,2828.8,19293.8,4528.6,2435.6,2342.5,2418.3,5069.6,2992.4,3291.9,1250.4
"11","Q15149","Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3",365,"PLEC",5288.3,6566.8,4411.6,5724.6,8301.2,5831.1,5864.4,7861.4,4061.7,3297.7,3571.2,5092.2,3347.1,6163.8,5498.2,4704.3
"12","P21333","Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",323,"FLNA",6110.5,5418.8,4453.6,6599.4,11129.4,13929.3,6071.4,20280.6,5699.1,4429.3,3294.1,5176.3,5500.5,4562.1,6172.3,3130.7
"13","P18206","Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4",366,"VCL",5728.9,9324.5,6450.2,7278.6,9713.9,8086.8,6743.5,10334.1,8065.9,4462.2,4601.8,5895.9,4194.2,6195.1,6700,6147.9
"14","Q9Y4G6","Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4",272,"TLN2",3020.9,4740.4,3382,4148.7,5478.1,3717.6,3441.6,4586.7,2756.5,2353,2000.1,3226.8,2425.5,2947.2,3825.2,2990.1
"15","P12111","Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5",274,"COL6A3",7814.1,6229.3,5147.1,5194,10490.3,8053.1,5605.5,5769.3,4300.9,3904.9,4118.7,8699.7,4110.2,7466.3,6206.8,4728.1
"16","P01023","Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3",376,"A2M",6383.8,10088.3,9503.2,23408.6,16695.9,14698,5551.4,8297.7,13272.7,6250.5,4205.2,4551.1,3754,6166.9,5956.3,5484.6
"17","P08670","Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",990,"VIM",18782.9,18517.8,15111.2,17632.4,32588.2,21453.8,19610,28473,11493.2,11138.1,10778.6,20365.4,14376,18921.1,24271.8,15653.4
"18","Q02952","A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4",236,"AKAP12",2235.8,4459.9,2747.4,3410.1,4173.5,3503.9,3047.4,3878.1,3954,2039.7,2067.5,2405.8,2111.2,3108,3467.8,2762.9
"19","P16157","Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3",272,"ANK1",4255.6,3849.3,2965.3,10584,7701.6,22237.7,3032.7,16705.1,4885,2483.7,2417.8,2395.1,4820.6,3066.3,3247.9,1321.8
"20","Q96Q06","Perilipin-4 OS=Homo sapiens OX=9606 GN=PLIN4 PE=1 SV=2",257,"PLIN4",9210.4,7742.2,4103.8,6761.9,7403.7,6611.2,3641.5,8673.9,17771.7,2644.1,2751.4,5151.4,3528.9,4743.2,5689.3,3967.7
"21","P02787","Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=4",403,"TF",7216.1,8661.3,10282.8,14758.2,14582.4,7940.5,5968.6,9175.7,10375,7193.9,5302.6,5180.4,5987.4,5823.6,7369.3,3641.2
"22","P04114","Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2",207,"APOB",2832.7,2391.8,2915.9,7035.7,4760,9050.7,3724,6140.6,3594.2,2549.7,1308.1,1896.7,3318.7,2290.9,3014.1,1960.4
"23","Q14204","Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5",198,"DYNC1H1",3262.8,4613.2,3399.9,4351.8,4914.6,3548.6,3246.8,3758.6,3890.8,2590.2,1985.7,3181.2,2197.1,3167.5,3754.2,2567
"24","P98160","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4",192,"HSPG2",1305.8,2610.1,1698.6,1820.6,2042.4,1438.9,1739.4,1942.9,1664.5,1156.1,785.4,1145,1058.5,1450.7,1509.7,1406.7
"25","P11047","Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3",184,"LAMC1",2996,6696.5,4067.7,4728.4,3538.7,2890.6,3716.4,4615.6,4653.7,3033.5,2678.8,3380.8,2081.7,3162.1,3303.8,3050.6
"26","P08133","Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3",272,"ANXA6",6836,9801.2,6803.6,7803.5,9425.1,6602.1,7117.8,8457.6,9003.3,5659.6,4184.2,6985.1,4943.7,6328,8104.3,6415.3
"27","Q9NZN4","EH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EHD2 PE=1 SV=2",291,"EHD2",7185.9,7957.5,5961.4,7438.6,8700.3,4130.3,5379.1,4867.6,6498.6,5933.2,3407.7,7214,4287.3,5610.4,7250.7,5497.6
"28","P55268","Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2",172,"LAMB2",2249.4,4138.4,2982.5,4006.7,3198.5,2244.1,3449.8,3485.1,3094.8,1982.2,1919.9,2723.2,1850.2,2290.8,2340.4,2163.9
"29","Q9HBL0","Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=3",188,"TNS1",2278.6,3698.6,2504.2,2940.5,3963.4,2738.3,2442.3,2632.5,2453.6,1938.7,1491.6,2505.7,1702.5,2409.9,3584.5,2840.9
"30","P0C0L5","Complement C4-B OS=Homo sapiens OX=9606 GN=C4B_2 PE=1 SV=2",188,"C4B_2",2909.5,2912.5,3838.2,6722.9,13141.4,4770.9,2700.5,5341.9,2664.1,2431.2,1449.4,2372.4,1820.4,2162.5,3527.3,1583.2
"31","O43707","Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2",175,"ACTN4",3335.7,3725.9,3065.7,3776.8,4761.4,4517.7,3084.7,5734,3413.8,2208,2003.3,3219,2405.7,3354,3423.8,2208.2
"32","P0C0L4","Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2",180,"C4A",45.1,48.7,57.1,157.7,146.7,58.3,26.7,135.9,19.4,40.1,23.4,19.5,15.8,48.8,36.9,13.3
"33","O75369","Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2",154,"FLNB",1531.6,2233.4,1663.4,1778.9,1798.4,2047,1816.8,2462.5,1755.6,1200.8,1122.2,1388,965,2086.9,1795.8,1405.5
"34","P46939","Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2",136,"UTRN",1785.8,2057,1512.2,2029.3,2601.3,1635.4,1687.4,2052.4,1806.7,1044.6,1014,1804.7,1062.2,1652.6,1738.3,1394.4
"35","Q00610","Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5",150,"CLTC",2112.7,2798.1,2107.7,3016.9,3531.1,3008.8,2015.4,3180.3,2344.4,1684.3,1232.5,2197.8,1581.5,2069.5,2627.2,1649.4
"36","P12814","Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2",171,"ACTN1",1552.4,1151.2,1208.7,1628,2628.6,2955.2,1198.7,4134.4,1406.7,1031.9,745.6,1368.4,1125.3,1059.8,1212.2,682
